real,imag,names
-0.3161699438261993,0.11252828236980936,"GT1exc,GT2exc,GT1,GT2"
-0.3161699438261993,-0.11252828236980936,"GT1exc,GT2exc,GT1,GT2"
-0.3333333333333336,0.0,GT1govdb
-0.3333333333333336,0.0,GT2govdb
-0.4021630066256868,0.0,"GT1,GT2"
-0.7207272280921391,0.8663866368457656,"GT1exc,GT2exc,GT1,GT2"
-0.7207272280921391,-0.8663866368457656,"GT1exc,GT2exc,GT1,GT2"
-0.8765222527792716,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-1.0,0.0,BCictrl
-1.0,0.0,ELictrl
-1.0,0.0,FCictrl
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.616550800842046,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-1.6205536913727279,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-1.6328415165845915,0.0,WT2udcquacctrl
-1.7560629919862292,0.7496906782069087,"GT1govdb,GT2govdb,GT1,GT2"
-1.7560629919862292,-0.7496906782069087,"GT1govdb,GT2govdb,GT1,GT2"
-1.9999999998389149,0.0,PLATPsecctrl
-2.0000000000000107,0.0,PLATPsecctrl
-2.3106156840074736,15.222670411916724,"GT1,GT2"
-2.3106156840074736,-15.222670411916724,"GT1,GT2"
-2.4842582956819084,0.0,"GT1govdb,GT2govdb"
-2.7656288983741995,0.0,"GT1,GT2"
-3.715220774175096,0.0,"GT1,GT2"
-4.082238719310405,3.084179197097592,"BCpll,FLEXpll"
-4.082238719310405,-3.084179197097592,"BCpll,FLEXpll"
-4.761259027701477,5.289578730912485,"GT1exc,GT2exc"
-4.761259027701477,-5.289578730912485,"GT1exc,GT2exc"
-4.764586242481336,2.2755176030247055,"BCpll,FLEXpll"
-4.764586242481336,-2.2755176030247055,"BCpll,FLEXpll"
-4.996936551297785,2.2388042366609415,PLATpll
-4.996936551297785,-2.2388042366609415,PLATpll
-5.059346456647329,5.699242430650829,"GT1exc,GT2exc"
-5.059346456647329,-5.699242430650829,"GT1exc,GT2exc"
-5.135538526053592,9.204134256754621,"WT1udcquacctrl,WT1GC"
-5.135538526053592,-9.204134256754621,"WT1udcquacctrl,WT1GC"
-5.53806264414496,9.476996949770216,"WT3udcquacctrl,WT3GC"
-5.53806264414496,-9.476996949770216,"WT3udcquacctrl,WT3GC"
-5.547759032908328,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-5.557630622314584,9.475567021572525,"WT2udcquacctrl,WT2GC"
-5.557630622314584,-9.475567021572525,"WT2udcquacctrl,WT2GC"
-5.58667667361959,0.0,WT2udcquacctrl
-5.594207058261441,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-5.791884210887232,8.895108092888078,"FLEXudcquacctrl,FLEXGC"
-5.791884210887232,-8.895108092888078,"FLEXudcquacctrl,FLEXGC"
-5.802811585731603,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-6.306562423834565,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-8.718076045961213,0.0,BCictrl
-9.574329656326901,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-9.609846282335301,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-10.0,0.0,ELiactref
-10.0,0.0,FCiactref
-10.0,0.0,FLEX_iact_ref_gen
-10.0,0.0,WT1_iact_ref_gen
-10.0,0.0,WT2_iact_ref_gen
-10.0,0.0,WT3_iact_ref_gen
-10.000000000000009,0.0,PLATPsecctrl
-10.000000000000009,0.0,GT1qctrl
-10.000000000000009,0.0,GT2qctrl
-10.045307906441774,0.0,"GT1govdb,GT2govdb"
-10.132881197513598,0.0,"GT1govdb,GT2govdb"
-10.450842368453282,0.0,WT1_iact_ref_gen
-16.166265494493405,8.219843495438605,"ESSGCudcquacctrl,ESSGC"
-16.166265494493405,-8.219843495438605,"ESSGCudcquacctrl,ESSGC"
-19.64162641647766,0.0,"BAT+_INT0,ESSGC"
-19.99999997913937,0.0,WT1udcquacctrl
-20.0,0.0,ESSGCudcquacctrl
-20.0,0.0,WT2udcquacctrl
-20.0,0.0,WT3udcquacctrl
-20.0,0.0,BCiactref
-20.00000000257463,0.0,FLEXudcquacctrl
-20.040392543142474,0.0,"WT1GC,WT2GC,WT3GC"
-20.088627708077784,0.0,"WT2GC,WT3GC"
-20.096462482672134,0.0,WT1GC
-20.130221267032976,0.0,ESSGC
-20.8249328710261,0.0,FLEXGC
-26.10893370778931,0.0,"GT1,GT2"
-37.72716918046083,0.0,"GT1,GT2"
-42.007349932509264,0.0,"GT1,GT2"
-45.456359635344256,0.0,"GT1,GT2"
-46.77261853357567,0.0,ELiactref
-49.9999999723755,0.0,FLEX_iact_ref_gen
-49.99999999999727,0.0,ELiactref
-49.99999999999727,0.0,FCiactref
-49.99999999999727,0.0,FCiactref
-50.00000000000006,0.0,BCiactref
-50.0117572384008,82.02971312831272,"ELictrl,ELLR"
-50.0117572384008,-82.02971312831272,"ELictrl,ELLR"
-51.76210471188487,0.0,FLEX_iact_ref_gen
-57.34626035114345,17.479743106168705,"BCiactref,BATLR"
-57.34626035114345,-17.479743106168705,"BCiactref,BATLR"
-64.35843848801747,95.2900392536133,"FCictrl,FCLR"
-64.35843848801747,-95.2900392536133,"FCictrl,FCLR"
-99.99486056855544,0.0,"GT1exc,GT2exc"
-99.99789792674044,0.0,"GT1exc,GT2exc"
-99.99999999822771,0.0,FLEXudcquacctrl
-99.99999999969079,0.0,"WT1udcquacctrl,WT2udcquacctrl"
-99.99999999999454,0.0,WT1_iact_ref_gen
-99.99999999999454,0.0,WT2_iact_ref_gen
-99.99999999999454,0.0,WT3_iact_ref_gen
-99.99999999999598,0.0,WT3udcquacctrl
-99.99999999999876,0.0,"ESSGCudcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-100.00000000180748,0.0,ESSGCudcquacctrl
-155.50693835943983,305.10250788520045,"ESSGCudcquacctrl,ESSDC+,ESSDC-"
-155.50693835943983,-305.10250788520045,"ESSGCudcquacctrl,ESSDC+,ESSDC-"
-236.6297614925929,475.95413698343515,"FLEXudcquacctrl,FLEXDC-,FLEXDC+"
-236.6297614925929,-475.95413698343515,"FLEXudcquacctrl,FLEXDC-,FLEXDC+"
-257.62862730481186,0.0,FLEXudcquacctrl
-283.81783046574094,0.0,WT3udcquacctrl
-284.7573216132533,0.0,WT2udcquacctrl
-291.7079232133775,0.0,"WT1udcquacctrl,WT2udcquacctrl"
-573.239841853958,403.7788063001981,"WT1udcquacctrl,WT3udcquacctrl,WT1DC-,WT3DC-,WT3DC"
-573.239841853958,-403.7788063001981,"WT1udcquacctrl,WT3udcquacctrl,WT1DC-,WT3DC-,WT3DC"
-578.0717494157059,395.2965669043099,"WT2udcquacctrl,WT2DC-,WT2DC"
-578.0717494157059,-395.2965669043099,"WT2udcquacctrl,WT2DC-,WT2DC"
-755.1424187843185,0.0,ESSGCudcquacctrl
-790.2293247174317,507.4517431158463,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl,WT1DC-,WT2DC-,WT3DC-"
-790.2293247174317,-507.4517431158463,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl,WT1DC-,WT2DC-,WT3DC-"
-881.4158399415143,0.0,FCictrl
-923.3520715875528,0.0,ELictrl
-935.1860194213691,0.0,BCictrl
