real,imag,names
-0.31670651104810843,0.11115496006110827,"GT1exc,GT2exc,GT1,GT2"
-0.31670651104810843,-0.11115496006110827,"GT1exc,GT2exc,GT1,GT2"
-0.3333333333333336,0.0,GT1govdb
-0.3333333333333336,0.0,GT2govdb
-0.40326625107276654,0.0,"GT1,GT2"
-0.723337901041616,0.8574365264085936,"GT1exc,GT2exc,GT1,GT2"
-0.723337901041616,-0.8574365264085936,"GT1exc,GT2exc,GT1,GT2"
-0.8743047636359796,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-1.0,0.0,BCictrl
-1.0,0.0,ELictrl
-1.0,0.0,FCictrl
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.0000000000000009,0.0,PLATQlambda
-1.3534096942333997,0.0,"BCpll,FLEXpll,GT1,GT2"
-1.6166914249987103,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-1.620623218035106,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-1.6329109977915501,0.0,WT2udcquacctrl
-1.9999999999999996,0.0,PLATPsecctrl
-2.000000000260823,0.0,PLATPsecctrl
-2.336093103487591,15.193465811903991,"GT1,GT2"
-2.336093103487591,-15.193465811903991,"GT1,GT2"
-2.499999999759663,0.0,GT1govdb
-2.499999999999209,0.0,"GT1govdb,GT2govdb"
-2.8119581271821286,0.0,"GT1,GT2"
-3.7157471713637498,0.0,"GT1,GT2"
-3.822244934308379,3.565855773492963,"BCpll,FLEXpll"
-3.822244934308379,-3.565855773492963,"BCpll,FLEXpll"
-4.666587647319636,2.283366665062014,"BCpll,FLEXpll"
-4.666587647319636,-2.283366665062014,"BCpll,FLEXpll"
-4.7113060282080585,5.252381148771287,"GT1exc,GT2exc"
-4.7113060282080585,-5.252381148771287,"GT1exc,GT2exc"
-4.997279377759457,2.2384984000835972,PLATpll
-4.997279377759457,-2.2384984000835972,PLATpll
-5.052606126049575,5.701404041944224,"GT1exc,GT2exc"
-5.052606126049575,-5.701404041944224,"GT1exc,GT2exc"
-5.135199214812088,9.204031663288184,"WT1udcquacctrl,WT1GC"
-5.135199214812088,-9.204031663288184,"WT1udcquacctrl,WT1GC"
-5.537746413159778,9.476801133474934,"WT3udcquacctrl,WT3GC"
-5.537746413159778,-9.476801133474934,"WT3udcquacctrl,WT3GC"
-5.54811432536042,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-5.5572096034872915,9.475502731566507,"WT2udcquacctrl,WT2GC"
-5.5572096034872915,-9.475502731566507,"WT2udcquacctrl,WT2GC"
-5.5866832645550835,0.0,WT2udcquacctrl
-5.594213416812623,0.0,"WT1udcquacctrl,WT3udcquacctrl"
-5.779568388847957,8.90531498132657,"FLEXudcquacctrl,FLEXGC"
-5.779568388847957,-8.90531498132657,"FLEXudcquacctrl,FLEXGC"
-5.800966502167034,0.0,"ESSGCudcquacctrl,FLEXudcquacctrl"
-6.303348597630676,0.0,"WT1udcquacctrl,WT2udcquacctrl,WT3udcquacctrl"
-8.842819311676395,0.0,BCictrl
-9.574373322333425,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-9.60970790403081,0.0,"WT2_iact_ref_gen,WT3_iact_ref_gen"
-10.0,0.0,ELiactref
-10.0,0.0,FCiactref
-10.0,0.0,FLEX_iact_ref_gen
-10.0,0.0,WT1_iact_ref_gen
-10.0,0.0,WT2_iact_ref_gen
-10.0,0.0,WT3_iact_ref_gen
-10.000000000000009,0.0,PLATPsecctrl
-10.000000000000009,0.0,GT1qctrl
-10.000000000000009,0.0,GT2qctrl
-10.00000000001475,0.0,GT2govdb
-10.000000000215278,0.0,"GT1govdb,GT2govdb"
-10.44979697437216,0.0,WT1_iact_ref_gen
-16.182983819964825,8.22961406252414,"ESSGCudcquacctrl,ESSGC"
-16.182983819964825,-8.22961406252414,"ESSGCudcquacctrl,ESSGC"
-19.446263218388772,0.0,"BAT+_INT0,BAT+_INT1"
