time,fmeasSEC,fmeasBTC,vpcc
-10.0,50.00027831599123,50.00027831631496,10.997814261786795
-9.998999999952503,50.00027831594486,50.00027831626833,10.997814261983095
-9.997999999905005,50.000278315899465,50.00027831622282,10.997814262180205
-9.996999999857508,50.00027831585406,50.00027831617732,10.99781426237722
-9.99599999981001,50.00027831580864,50.000278316131784,10.99781426257397
-9.994999999762513,50.00027831576317,50.00027831608621,10.997814262770524
-9.993999999715015,50.000278315717665,50.00027831604058,10.997814262966948
-9.992999999667518,50.00027831567212,50.00027831599492,10.997814263163285
-9.99199999962002,50.00027831562659,50.000278315949245,10.997814263359562
-9.990999999572523,50.00027831558105,50.00027831590358,10.997814263555853
-9.989999999525025,50.00027831553553,50.000278315857926,10.997814263752094
-9.988999999477528,50.00027831549004,50.0002783158123,10.997814263948301
-9.98799999943003,50.00027831544458,50.0002783157667,10.997814264144477
-9.986999999382533,50.00027831539915,50.00027831572114,10.997814264340596
-9.985999999335036,50.00027831535374,50.000278315675594,10.997814264536634
-9.984999999287538,50.000278315308364,50.000278315630084,10.997814264732561
-9.98399999924004,50.000278315263,50.00027831558458,10.997814264928419
-9.982999999192543,50.000278315217656,50.000278315539106,10.997814265124195
-9.981999999145046,50.000278315172324,50.000278315493645,10.997814265319887
-9.980999999097548,50.00027831512701,50.0002783154482,10.997814265515489
-9.979999999050051,50.00027831508171,50.00027831540277,10.997814265711021
-9.978999999002554,50.000278315036425,50.00027831535735,10.997814265906477
-9.977999998955056,50.000278314991164,50.00027831531195,10.997814266101873
-9.976999998907559,50.00027831494591,50.00027831526658,10.997814266297171
-9.975999998860061,50.00027831490068,50.000278315221216,10.99781426649242
-9.974999998812564,50.00027831485548,50.00027831517588,10.997814266687602
-9.973999998765066,50.000278314810274,50.00027831513056,10.997814266882674
-9.972999998717569,50.0002783147651,50.00027831508525,10.997814267077693
-9.971999998670071,50.00027831471994,50.00027831503996,10.99781426727263
-9.970999998622574,50.0002783146748,50.00027831499469,10.997814267467476
-9.969999998575076,50.00027831462968,50.00027831494943,10.997814267662271
-9.968999998527579,50.000278314584584,50.0002783149042,10.997814267856986
-9.967999998480082,50.00027831453949,50.00027831485899,10.997814268051608
-9.966999998432584,50.00027831449442,50.000278314813784,10.997814268246147
-9.965999998385087,50.00027831444937,50.0002783147686,10.99781426844063
-9.96499999833759,50.00027831440433,50.00027831472344,10.997814268635047
-9.963999998290092,50.00027831435931,50.00027831467829,10.99781426882934
-9.962999998242594,50.000278314314315,50.00027831463316,10.997814269023596
-9.961999998195097,50.00027831426934,50.00027831458805,10.997814269217766
-9.9609999981476,50.000278314224374,50.000278314542946,10.997814269411846
-9.959999998100102,50.000278314179425,50.000278314497876,10.997814269605865
-9.958999998052604,50.00027831413449,50.000278314452814,10.99781426979981
-9.957999998005107,50.000278314089584,50.00027831440777,10.997814269993675
-9.95699999795761,50.00027831404469,50.00027831436275,10.997814270187458
-9.955999997910112,50.00027831399981,50.00027831431775,10.997814270381168
-9.954999997862615,50.00027831395496,50.000278314272755,10.997814270574782
-9.953999997815117,50.00027831391011,50.000278314227785,10.99781427076835
-9.95299999776762,50.00027831386529,50.00027831418283,10.997814270961811
-9.951999997720122,50.00027831382048,50.000278314137894,10.997814271155198
-9.950999997672625,50.00027831377569,50.000278314092974,10.997814271348519
-9.949999997625127,50.00027831373092,50.000278314048074,10.997814271541758
-9.94899999757763,50.00027831368616,50.00027831400319,10.997814271734933
-9.947999997530133,50.000278313641424,50.00027831395832,10.99781427192802
-9.946999997482635,50.00027831359671,50.000278313913476,10.997814272121015
-9.945999997435138,50.000278313552,50.00027831386865,10.997814272313969
-9.94499999738764,50.00027831350733,50.000278313823834,10.997814272506817
-9.943999997340143,50.00027831346266,50.000278313779035,10.997814272699586
-9.942999997292645,50.000278313418015,50.00027831373426,10.9978142728923
-9.941999997245148,50.00027831337337,50.00027831368949,10.997814273084915
-9.94099999719765,50.000278313328764,50.000278313644756,10.997814273277454
-9.939999997150153,50.00027831328417,50.000278313600035,10.997814273469919
-9.938999997102655,50.0002783132396,50.00027831355533,10.997814273662309
-9.937999997055158,50.00027831319503,50.000278313510634,10.997814273854631
-9.93699999700766,50.00027831315049,50.00027831346596,10.997814274046847
-9.935999996960163,50.00027831310596,50.000278313421305,10.997814274239014
-9.934999996912666,50.00027831306144,50.00027831337667,10.997814274431091
-9.933999996865168,50.000278313016956,50.00027831333204,10.997814274623114
-9.93299999681767,50.00027831297249,50.000278313287446,10.997814274815012
-9.931999996770173,50.00027831292803,50.000278313242866,10.997814275006858
-9.930999996722676,50.000278312883594,50.00027831319829,10.997814275198639
-9.929999996675178,50.00027831283917,50.00027831315374,10.997814275390313
-9.928999996627681,50.00027831279476,50.000278313109206,10.997814275581945
-9.927999996580184,50.000278312750375,50.00027831306469,10.997814275773461
-9.926999996532686,50.000278312706,50.00027831302019,10.997814275964917
-9.925999996485189,50.000278312661656,50.000278312975716,10.997814276156303
-9.924999996437691,50.00027831261731,50.00027831293125,10.997814276347603
-9.923999996390194,50.000278312573,50.000278312886806,10.997814276538836
-9.922999996342696,50.0002783125287,50.000278312842376,10.997814276729974
-9.921999996295199,50.000278312484426,50.00027831279796,10.997814276921053
-9.920999996247701,50.00027831244016,50.00027831275358,10.997814277112036
-9.919999996200204,50.000278312395906,50.00027831270919,10.997814277302954
-9.918999996152706,50.00027831235167,50.00027831266484,10.997814277493797
-9.917999996105209,50.000278312307465,50.0002783126205,10.997814277684556
-9.916999996057712,50.00027831226327,50.00027831257618,10.997814277875232
